text_input,output
"In a sodium-cooled fast reactor, void formation due to sodium boiling introduces competing effects that influence the void coefficient (α_v). Which pair of effects correctly describes the primary opposing contributions to α_v in such a reactor?
A: Increased thermal absorption (positive α_v contribution) vs. decreased neutron leakage (negative α_v contribution).
B: Spectrum hardening leading to increased η (positive α_v contribution) vs. increased neutron leakage (negative α_v contribution).
C: Decreased resonance absorption (positive α_v contribution) vs. increased thermalization (negative α_v contribution).
D: Increased moderation (positive α_v contribution) vs. decreased fission rate (negative α_v contribution).",B
"Consider a layered shield consisting of a high-Z material followed by a low-Z material. According to approximate methods for calculating gamma-ray buildup, how is the overall buildup factor estimated when the incident gamma-ray energy is significantly above the minimum in the high-Z material's total attenuation coefficient curve (approximately 3 MeV)?
A: Use the buildup factor of the second (low-Z) medium as if the first medium were not present.
B: Use the buildup factor of the first (high-Z) medium evaluated at the total thickness of both layers.
C: Multiply the buildup factor of the first (high-Z) medium by the buildup factor of the second (low-Z) medium, where the second factor is evaluated at an energy corresponding to the minimum in the high-Z material's attenuation curve.
D: Use the buildup factor of the medium with the larger buildup factor, evaluated at the sum of the optical thicknesses ($\mu_1 a_1 + \mu_2 a_2$).",C
"A Boiling-Water Reactor (BWR) operates on a direct cycle, meaning steam is generated directly in the reactor core and sent to the turbine. What is a significant consequence of this design choice compared to a PWR?
A: The reactor pressure vessel must be significantly thicker than a PWR vessel for the same power output.
B: Less water needs to be pumped through the core per unit time for the same power output.
C: Chemical shim control using boric acid is the primary method for reactivity control.
D: Components in the steam utilization system require shielding due to radioactive contamination.",D
"For inherent stability, what sign is generally required for the prompt temperature coefficient of reactivity in licensed reactors?
A: Positive
B: Negative
C: Zero
D: It depends on the coolant type.",B
"Compared to the fuel pins in a Gas-Cooled Fast Breeder Reactor (GCFR), how are the fuel pins typically spaced in a Liquid Metal Cooled Fast Breeder Reactor (LMFBR), and why?
A: Further apart, due to the lower heat capacity of sodium compared to helium.
B: Further apart, to enhance moderation for a softer neutron spectrum.
C: More tightly packed, due to the superior heat transfer properties of sodium compared to helium.
D: More tightly packed, to reduce the overall size of the reactor vessel.",C
"For small positive reactivities, the stable reactor period is primarily determined by a sum involving which properties of the delayed neutron precursors?
A: Their mean lives and yields
B: Their energy spectra and prompt neutron lifetime
C: The core temperature and pressure coefficients
D: The moderator-to-fuel ratio and fuel enrichment",A
"Compared to Pressurized Water Reactors (PWRs), Boiling Water Reactors (BWRs) have historically emitted more of which type of radioactive effluent?
A: Liquid effluents (excluding tritium)
B: Tritium in liquid effluents
C: Gaseous effluents
D: Halogens and particulates",C
"What scale is used to measure the intensity of an earthquake, typically related to ground acceleration and observed effects?
A: Richter scale
B: Mercalli scale
C: Beaufort scale
D: Saffir-Simpson scale",B
"Which component in a nuclear reactor is primarily used to control the reactor's power level by absorbing neutrons?
A: Reflector
B: Moderator
C: Coolant
D: Control rods",D
"What type of fuel is commonly used in both Pressurized Water Reactors (PWRs) and Boiling Water Reactors (BWRs)?
A: Natural Uranium Metal
B: Highly Enriched Uranium
C: Slightly Enriched UO2 pellets
D: Thorium Oxide",C
"In the diffusion equation for an intermediate energy group 'g' within the Removal-Diffusion method, the source term Sh->g represents neutrons that have originated from which source?
A: Prompt fission in the core
B: Leakage from the thermal group
C: Scattering from removal group 'h' into group 'g'
D: Inelastic scattering within the intermediate group",C
"What is the approximate recoverable energy per fission event in a 235U fueled thermal reactor?
A: 168 MeV
B: 200 MeV
C: 207 MeV
D: 12 MeV",B
"In a uranium enrichment plant utilizing the material balance concept, which stream represents the depleted uranium that remains after the desired fissile isotope concentration has been increased in another stream?
A: Feed
B: Product
C: Tails
D: Waste",C
"According to the Pasquill classification system, a temperature gradient (ΔT/Δz) between -1.7 °C/100 m and -1.5 °C/100 m (exclusive of -1.7, inclusive of -1.5) corresponds to which stability category?
A: B
B: C
C: D
D: E",B
"Calculations that predict the changes in reactor core properties over time, such as fuel depletion, fertile material conversion, and poison accumulation, are commonly known as:
A: Thermal-hydraulic analysis
B: Neutron transport calculations
C: Burnup or lifetime calculations
D: Reactor kinetics analysis",C
"In the removal-diffusion method for radiation shielding calculations, neutrons are typically categorized into which three main energy classes?
A: Prompt, Delayed, and Thermal
B: Fast, Intermediate, and Thermal
C: Fission, Capture, and Scattered
D: Primary, Secondary, and Tertiary",B
"Compared to Light Water Reactors (LWRs), Heavy Water Reactors (HWRs) like the CANDU are designed with which significant advantage?
A: Smaller core size due to superior neutron moderation.
B: Higher thermal efficiency achieved through higher operating temperatures.
C: Ability to operate on natural uranium fuel.
D: Simpler refueling procedures requiring less frequent shutdowns.",C
"Which uranium enrichment process relies on the principle that lighter gas molecules pass through a porous barrier more readily than heavier ones?
A: Gas Centrifuge
B: Gaseous Diffusion
C: Electromagnetic Separation
D: Aerodynamic Separation",B
"Compared to the fission cross-section of Uranium-238, the fission cross-section of Uranium-235 at low neutron energies is typically:
A: Zero below a threshold energy.
B: Relatively smooth across all energies.
C: Much larger and exhibits a 1/v dependence.
D: Dominated by elastic scattering resonances.",C
"What is the recommended annual dose limit for a pregnant radiation worker during gestation, according to major standards-setting bodies?
A: 5 rems
B: 15 rems
C: 0.5 rems
D: 2 rems",C
"Radioactive effluents from nuclear power plants are typically released to the environment in what forms?
A: Solid and Aerosol
B: Gaseous and Liquid
C: Particulate and Slurry
D: Plasma and Solid",B
"Using typical risk coefficients based on the linear hypothesis, what is the estimated total number of eventual deaths from bone cancer and breast cancer combined for a population receiving a total dose of 2 x 10¶ man-rems?
A: 32.5
B: 65.0
C: 130.0
D: 270.0",B
"The quantity known as the Derived Air Concentration (DAC) is essentially equivalent to which older standard?
A: Maximum Permissible Concentration in Water (MPC)w
B: Annual Limit on Intake (ALI)
C: Maximum Permissible Concentration in Air (MPC)a
D: Working Level Month (WLM)",C
"Calculate the equivalent diameter for a coolant channel in a square lattice array of fuel rods with a pitch of 0.60 inches and a fuel rod outer radius of 0.234 inches.
A: 0.450 inches
B: 0.512 inches
C: 0.580 inches
D: 0.650 inches",B
"What is the standard unit used to express microscopic nuclear cross-sections?
A: cm²/sec
B: barn
C: cm⁻¹
D: MeV",B
"A 'fanning' plume, which spreads out horizontally in a thin layer at a relatively fixed altitude, is typically associated with which atmospheric stability condition?
A: Unstable (Looping)
B: Neutral (Coning)
C: Stable (Inversion)
D: Stable below, neutral aloft (Lofting)",C
"Based on the typical binding energy per nucleon curve, which of the following nuclear processes generally releases energy?
A: Fission of light nuclei (A < 50)
B: Fusion of heavy nuclei (A > 150)
C: Fission of heavy nuclei (A > 200)
D: Alpha decay of nuclei around A = 100",C
"In the Girdler-Sulfide (GS) process for heavy water production, the equilibrium constant for the exchange reaction HDO + H2S <=> H2O + HDS decreases as temperature increases. How does an increase in temperature affect the equilibrium distribution of deuterium between the water and hydrogen sulfide phases?
A: It shifts the equilibrium to relatively favor deuterium concentration in the water phase compared to the hydrogen sulfide phase.
B: It shifts the equilibrium to relatively favor deuterium concentration in the hydrogen sulfide phase compared to the water phase.
C: It does not affect the equilibrium distribution of deuterium.
D: It causes deuterium to precipitate out of both phases.",B
"Which significant fission product poison has an equilibrium reactivity worth that is essentially independent of the reactor's thermal neutron flux level?
A: Xenon-135
B: Iodine-135
C: Samarium-149
D: Cesium-135",C
"For a person exposed to a uniform infinite cloud of a radionuclide, the external gamma dose rate is directly proportional to which of the following quantities?
A: The square of the distance from the cloud center
B: The radionuclide concentration and the average gamma energy per disintegration
C: The half-life of the radionuclide
D: The air density and the beta energy",B
"Which material is commonly used as a neutron absorber in cluster control rods for power reactors?
A: Uranium dioxide (UO2)
B: Zirconium alloy (Zircaloy)
C: Boron carbide (B4C)
D: Graphite",C
"In nuclear shielding, what primary process does the macroscopic removal cross-section quantify for fast neutrons in a hydrogenous medium?
A: Absorption
B: Inelastic scattering
C: Elastic scattering that removes neutrons from the fast flux
D: Photoelectric absorption",C
"In the Three Mile Island (TMI-2) accident, what was a primary operator action that significantly worsened the event?
A: Failing to insert control rods during the initial transient.
B: Manually overriding and turning off the emergency core cooling system (ECCS).
C: Opening the pressurizer relief valve manually.
D: Increasing feedwater flow during the pressure excursion.",B
"For a critical bare reactor described by the homogeneous one-group diffusion equation, what determines the absolute magnitude of the neutron flux?
A: The material properties of the reactor core.
B: The geometric dimensions of the reactor core.
C: The boundary conditions applied at the extrapolated surface.
D: The power level at which the system is operating.",D
"The neutron age (τ) is a parameter used in slowing-down theory, often defined as D₁/Σ₁. For fission neutrons in a moderator, what is the physical interpretation of the neutron age?
A: The average time required for a neutron to slow down to thermal energy.
B: The mean free path for scattering in the fast group.
C: One-sixth of the mean square distance a neutron travels from its birth as a fast neutron to the point where it slows down to thermal energies.
D: The average number of collisions required for a neutron to become thermalized.",C
"Advanced passive reactor designs incorporate systems that rely on natural forces like gravity or natural circulation for safety functions. Based on typical nuclear power plant designs, which of the following systems is NOT primarily driven by such passive means, but rather relies on active components like pumps?
A: Gravity-driven core cooling during a LOCA
B: Natural circulation for normal or emergency cooling
C: Forced circulation in a conventional reactor's primary coolant loop
D: Condensation of steam in a passive containment cooling system",C
"What is a primary function of control rods in a nuclear reactor?
A: To generate electricity
B: To moderate neutrons to thermal energies
C: To change the degree of reactor criticality
D: To circulate coolant through the core",C
"Cell survival curves plotting surviving fraction versus absorbed dose show that for low Linear Energy Transfer (LET) radiation, compared to high LET radiation, the curve typically exhibits:
A: A steeper drop at low doses, indicating higher sensitivity.
B: A flatter region or ""shoulder"" at low doses, suggesting potential repair mechanisms.
C: A linear decrease from zero dose, identical to high LET radiation.
D: A threshold dose below which no cell killing occurs.",B
"In reactor kinetics, what is the unit of reactivity known as a ""cent"" defined as?
A: One dollar
B: One one-hundredth of a dollar
C: One thousandth of a dollar
D: One percent reactivity",B
"What is generally considered the most important fission product poison in thermal reactors due to its high thermal absorption cross-section?
A: Iodine-135
B: Cesium-135
C: Barium-135
D: Xenon-135",D
"A neutron beam with an intensity of 5 x 10⁸ neutrons/cm²-sec and a cross-sectional area of 0.1 cm² strikes a thin target. The target material has an atom density of 0.080 x 10²⁴ atoms/cm³ and a total microscopic cross-section of 2.6 barns. If the target is 0.05 cm thick, at what rate do neutron interactions occur in the target?
A: 5.2 x 10⁴ interactions/sec
B: 5.2 x 10⁵ interactions/sec
C: 5.2 x 10⁶ interactions/sec
D: 5.2 x 10⁷ interactions/sec",B
"A nuclear power plant reload requires 29,089 kg of enriched uranium product with an enrichment of 3.2 weight percent 235U. If the feed material is natural uranium (0.711 w/o 235U) and the tails assay is 0.2 w/o 235U, approximately how much natural uranium feed (in kg) is required for this reload?
A: 50,000 kg
B: 100,000 kg
C: 171,000 kg
D: 250,000 kg",C
"Which type of neutron emitted during nuclear fission plays a crucial role in the control of nuclear reactors?
A: Prompt neutrons
B: Delayed neutrons
C: Thermal neutrons
D: Fast neutrons",B
"What is the primary strategy employed for shielding against fast neutrons in a nuclear reactor shield?
A: Direct absorption by high cross-section materials
B: Slowing them down through elastic and inelastic collisions followed by absorption
C: Reflecting them back into the reactor core
D: Using materials with very low atomic mass exclusively",B
"Using the approximate value kT ≈ 0.0253 eV at room temperature (≈ 293.6 K), what is the average energy of air molecules in a room at 25°C?
A: ~0.0129 eV
B: ~0.0258 eV
C: ~0.0387 eV
D: ~0.0516 eV",C
"The effective decay constant (λe) for a radionuclide in a body organ is defined as the sum of which two decay constants?
A: Radiological decay constant and physical decay constant
B: Physical decay constant and biological clearance constant
C: Radiological decay constant and biological clearance constant
D: Alpha decay constant and beta decay constant",C
"What is the definition of absorbed dose?
A: The sum of initial kinetic energies of all charged, ionizing particles released per unit mass.
B: The energy imparted by ionizing radiation per unit mass of substance.
C: The product of absorbed dose and the radiation weighting factor.
D: The rate at which energy is deposited by radiation.",B
"What energy deposition in air corresponds to an exposure of 1 Roentgen (R)?
A: 100 ergs/g
B: 5.47 x 10² MeV/g
C: 1.60 x 10⁻⁶ ergs/g
D: 5.47 x 10⁷ MeV/g",D
"In the standard formulation of multi-group diffusion equations for energetic neutrons, scattering is typically assumed to occur only in which direction regarding energy, and how does this assumption change for low thermal neutrons?
A: Only upscattering for energetic neutrons; only downscattering for thermal neutrons.
B: Only downscattering for energetic neutrons; both upscattering and downscattering for low thermal neutrons.
C: Isotropic scattering for all energies.
D: Scattering is ignored for energetic neutrons but included for thermal neutrons.",B
"The Derived Air Concentration (DAC) for a radionuclide is defined by dividing the Annual Limit on Intake (ALI) by what quantity?
A: The maximum permissible concentration
B: The total body burden
C: The annual air intake per year
D: The 50-year dose commitment",C
"In the context of removal-diffusion calculations, what does the source term Sh→g represent?
A: The macroscopic scattering cross-section from removal group h to intermediate group g.
B: The total macroscopic removal cross-section for neutrons in removal group h.
C: The rate at which neutrons are transferred from removal group h into intermediate group g per unit volume.
D: The flux of neutrons in removal group h at a specific spatial point.",C
"What does the acronym LOCA stand for in the context of nuclear reactors?
A: Loss of Core Assembly
B: Low Operating Control Area
C: Loss-of-Coolant Accident
D: Liquid Oxide Containment Area",C
"For a critical bare spherical thermal reactor with radius R, the buckling is given by B² = (π/R)². The composition parameter Z = ΣaF / ΣaM must satisfy the modified one-group critical equation. Given the thermal diffusion area of the moderator (L²M), the neutron age of the moderator (τM), and the number of neutrons per thermal absorption in fuel (ηT), which expression correctly relates Z to these parameters for a critical reactor assuming p=ε=1?
A: Z = (ηT - 1 - B²τM) / (1 + B²(L²M + τM))
B: Z = (1 + B²(L²M + τM)) / (ηT - 1 - B²τM)
C: Z = (1 + B²(L²M - τM)) / (ηT - 1 + B²τM)
D: Z = (ηT + 1 + B²τM) / (1 - B²(L²M + τM))",B
"Structures and systems important to safety at a nuclear power plant must be designed to withstand various natural phenomena. Which phenomenon is characterized by relatively small diameters (feet to a mile) and extremely high rotating horizontal winds (100-300 mph) with a strong updraft?
A: Hurricane
B: Tsunami
C: Earthquake
D: Tornado",D
"The half-life (T₁/₂) of a radioactive nuclide is related to its decay constant (λ) by which of the following expressions?
A: T₁/₂ = λ / ln(2)
B: T₁/₂ = 1 / λ
C: T₁/₂ = ln(2) / λ
D: T₁/₂ = 0.693 * λ",C
"What gas is commonly used as the primary coolant in High-Temperature Gas-cooled Reactors (HTGRs)?
A: Carbon Dioxide
B: Nitrogen
C: Helium
D: Steam",C
"When an isotropic planar source is located at a distance from a slab shield (as opposed to being adjacent), the uncollided flux calculation involves an integral transformation. How does the final expression for the uncollided flux compare to the case where the source and observation point are immediately adjacent to the shield?
A: It is significantly different and requires a new function
B: It is mathematically equivalent to the adjacent case
C: It is simpler and reduces to a direct exponential attenuation
D: It requires numerical integration methods only",B
"For which common moderator is the neutron age (τ) generally *not* significantly less than the thermal diffusion area (L²), making modified one-group theory a more appropriate approach than standard one-group theory?
A: Graphite
B: Heavy Water (D₂O)
C: Beryllium
D: Light Water (H₂O)",D
